,state_mw,incar_rate_scaled,viol_crime_scaled,clusters,cluster
43,5.15,0.18190100090578198,0.2332019153982401,2,dark purple
44,6.25,0.22839319426566362,0.10506086982786655,2,dark purple
45,5.15,0.4373085219413042,0.29095078352838755,2,dark purple
46,6.72,0.2540465444326401,0.3546907566487789,0,pink
47,5.15,0.18895320827141404,0.27957079000771046,2,dark purple
48,5.15,0.38413251750171185,0.23096785880625248,2,dark purple
49,1.6,0.3011621069163084,0.25761816650629044,1,purple
50,0.0,0.5604059435427189,0.44499803334474564,1,purple
51,5.65,0.6782731041312218,0.5654094740748405,2,dark purple
52,0.0,0.5395759362727404,0.5544993095099926,1,purple
53,5.15,0.4378354176878929,0.4249763675034046,2,dark purple
54,6.75,0.45624556951224804,0.595360528677702,0,pink
55,5.15,0.41403663344681263,0.35285092890262604,2,dark purple
56,6.7,0.5411458667367697,0.3124686423689127,0,pink
57,6.15,0.8235053159296513,0.6000409368425608,2,dark purple
58,0.0,0.45058317482471466,0.771167641505599,1,purple
59,5.15,0.5553016439080238,0.45963223092257977,2,dark purple
60,5.75,0.40857186540961266,0.2629239344969392,2,dark purple
61,5.15,0.4058448597788811,0.2545557916164398,2,dark purple
62,5.15,0.33919818233698606,0.6019093561917543,2,dark purple
63,5.15,0.330506544560194,0.35733815748244524,2,dark purple
64,5.15,0.28605100233107805,0.2857103943824768,2,dark purple
65,2.65,0.3306697588413954,0.3772076452150941,1,purple
66,5.15,0.2832152647897601,0.27142991311848164,2,dark purple
67,0.0,0.44703176245093346,0.6632870063185692,1,purple
68,5.75,0.1432549674063921,0.10780805023387074,2,dark purple
69,5.15,0.4424160812050104,0.770843168720603,2,dark purple
70,6.75,0.15383537393063307,0.4848640412092209,0,pink
71,5.15,0.5037328228354454,0.5407229531556368,2,dark purple
72,4.9,0.13642358826473355,0.26723500341176987,2,dark purple
73,0.0,0.5356271285563707,0.34387577325105667,1,purple
74,5.15,0.525527261197567,0.5389675032347441,2,dark purple
75,4.0,0.31525574158877134,0.3511751303449273,2,dark purple
76,5.15,0.23431838490068913,0.31419964507222176,2,dark purple
77,5.15,0.4660304170101881,0.6392750889062881,2,dark purple
78,5.15,0.19420827738940716,0.16133019234985113,2,dark purple
