,Year,state_mw,state_mw_2020,fed_mw,fed_mw_2020,effective_mw,effective_mw_2020,prisoner_count,state_population,violent_crime,murder,robbery,burglary,incarceration_rate,avg_rate_of_year
count,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
mean,2008.5,5.689575672149658,6.91378927230835,6.200009822845459,7.549370288848877,6.6214680671691895,8.063920021057129,25329.494140625,6089472.5,26289.255859375,314.0887451171875,7716.17578125,40875.953125,0.003949131350964308,0.0039491187781095505
std,4.612656040144425,2.4919662475585938,2.860795497894287,0.9905678033828735,0.6204140186309814,1.169326901435852,0.9271182417869568,32250.92578125,6738768.0,33889.27734375,385.9330139160156,11114.0126953125,47800.265625,0.001436677761375904,0.00010915333405137062
min,2001.0,0.0,0.0,5.150000095367432,6.420000076293945,5.150000095367432,6.420000076293945,1088.0,493754.0,496.0,5.0,43.0,1689.0,0.0012851750943809748,0.0037072543054819107
25%,2004.75,5.150000095367432,6.610000133514404,5.150000095367432,7.045000195503235,5.150000095367432,7.400000095367432,5507.25,1793322.25,5213.5,48.75,1106.5,9407.0,0.0030078377458266914,0.0038950828602537513
50%,2008.5,6.5,7.900000095367432,6.200000047683716,7.664999961853027,7.150000095367432,8.050000190734863,16311.0,4317681.0,15750.5,179.5,3935.0,27759.0,0.0038713429821655154,0.003948775818571448
75%,2012.25,7.25,8.619999885559082,7.25,7.952500104904175,7.25,8.619999885559082,30001.25,6823380.5,31977.0,431.0,8834.5,47815.0,0.00475700874812901,0.004021377535536885
max,2016.0,10.0,10.779999732971191,7.25,8.600000381469727,10.0,10.779999732971191,172298.0,39296476.0,212867.0,2503.0,71142.0,250521.0,0.008637463673949242,0.004121794365346432
