,Year,State,state_mw,state_mw_2020,fed_mw,fed_mw_2020,effective_mw,effective_mw_2020,prisoner_count,state_population,violent_crime,murder,robbery,burglary,incarceration_rate,rate_rank,avg_rate_of_year,viol_crime_rate
35,2001,Oklahoma,2.0,2.92,5.15,7.52,5.15,7.52,21719.0,3469577.0,17726.0,185.0,2746.0,34573.0,0.006259841,High,0.0038318466,0.00510898
36,2001,Oregon,6.5,9.49,5.15,7.52,6.5,9.49,10950.0,3473441.0,10650.0,84.0,2749.0,26648.0,0.0031524934,Medium,0.0038318466,0.0030661237
37,2001,Pennsylvania,5.15,7.52,5.15,7.52,5.15,7.52,37641.0,12303104.0,50432.0,651.0,17500.0,54345.0,0.0030594717,Medium,0.0038318466,0.0040991283
38,2001,Rhode Island,6.15,8.98,5.15,7.52,6.15,8.98,3364.0,1059659.0,3278.0,39.0,986.0,6824.0,0.0031746062,Medium,0.0038318466,0.003093448
39,2001,South Carolina,0.0,0.0,5.15,7.52,5.15,7.52,21719.0,4062125.0,33114.0,330.0,5987.0,42611.0,0.005346709,High,0.0038318466,0.008151891
40,2001,South Dakota,5.15,7.52,5.15,7.52,5.15,7.52,2799.0,758324.0,1171.0,7.0,103.0,3087.0,0.0036910344,Medium,0.0038318466,0.0015441949
41,2001,Tennessee,0.0,0.0,5.15,7.52,5.15,7.52,17466.0,5749398.0,42776.0,423.0,10219.0,59705.0,0.0030378832,Medium,0.0038318466,0.007440083
42,2001,Texas,3.35,4.89,5.15,7.52,5.15,7.52,148480.0,21370984.0,122155.0,1332.0,35348.0,204362.0,0.006947738,High,0.0038318466,0.0057159276
43,2001,Utah,5.15,7.52,5.15,7.52,5.15,7.52,4145.0,2278712.0,5314.0,67.0,1197.0,13804.0,0.00181901,Low,0.0038318466,0.0023320192
44,2001,Vermont,6.25,9.13,5.15,7.52,6.25,9.13,1400.0,612978.0,644.0,7.0,107.0,3150.0,0.002283932,Low,0.0038318466,0.0010506087
45,2001,Virginia,5.15,7.52,5.15,7.52,5.15,7.52,31472.0,7196750.0,20939.0,364.0,6860.0,31604.0,0.004373085,Medium,0.0038318466,0.0029095078
46,2001,Washington,6.72,9.81,5.15,7.52,6.72,9.81,15226.0,5993390.0,21258.0,179.0,5934.0,53024.0,0.0025404654,Low,0.0038318466,0.0035469076
47,2001,West Virginia,5.15,7.52,5.15,7.52,5.15,7.52,3403.0,1800975.0,5035.0,40.0,707.0,9601.0,0.0018895321,Low,0.0038318466,0.002795708
48,2001,Wisconsin,5.15,7.52,5.15,7.52,5.15,7.52,20766.0,5405947.0,12486.0,192.0,4444.0,26927.0,0.0038413252,Medium,0.0038318466,0.0023096786
49,2001,Wyoming,1.6,2.34,5.15,7.52,5.15,7.52,1487.0,493754.0,1272.0,9.0,84.0,2481.0,0.003011621,Medium,0.0038318466,0.0025761817
50,2002,Alabama,0.0,0.0,5.15,7.4,5.15,7.4,25100.0,4478896.0,19931.0,303.0,5962.0,42578.0,0.0056040594,High,0.003896469,0.0044499803
51,2002,Alaska,5.65,8.12,5.15,7.4,5.65,8.12,4351.0,641482.0,3627.0,33.0,489.0,3908.0,0.006782731,High,0.003896469,0.0056540947
52,2002,Arizona,0.0,0.0,5.15,7.4,5.15,7.4,29359.0,5441125.0,30171.0,387.0,8000.0,59087.0,0.0053957594,High,0.003896469,0.005544993
53,2002,Arkansas,5.15,7.4,5.15,7.4,5.15,7.4,11849.0,2706268.0,11501.0,142.0,2524.0,23229.0,0.004378354,Medium,0.003896469,0.0042497637
54,2002,California,6.75,9.71,5.15,7.4,6.75,9.71,159695.0,35001984.0,208388.0,2395.0,64968.0,238428.0,0.0045624557,Medium,0.003896469,0.0059536053
55,2002,Colorado,5.15,7.4,5.15,7.4,5.15,7.4,18636.0,4501051.0,15882.0,179.0,3579.0,31678.0,0.0041403663,Medium,0.003896469,0.0035285093
56,2002,Connecticut,6.7,9.63,5.15,7.4,6.7,9.63,18716.0,3458587.0,10807.0,84.0,4069.0,17111.0,0.0054114587,High,0.003896469,0.0031246864
57,2002,Delaware,6.15,8.84,5.15,7.4,6.15,8.84,6637.0,805945.0,4836.0,26.0,1154.0,5355.0,0.008235053,Unusually High,0.003896469,0.0060004094
58,2002,Florida,0.0,0.0,5.15,7.4,5.15,7.4,75210.0,16691701.0,128721.0,911.0,32581.0,177242.0,0.0045058317,Medium,0.003896469,0.0077116764
59,2002,Georgia,5.15,7.4,5.15,7.4,5.15,7.4,47445.0,8544005.0,39271.0,606.0,13432.0,73932.0,0.0055530164,High,0.003896469,0.0045963223
60,2002,Hawaii,5.75,8.27,5.15,7.4,5.75,8.27,5069.0,1240663.0,3262.0,24.0,1210.0,12722.0,0.0040857187,Medium,0.003896469,0.0026292393
61,2002,Idaho,5.15,7.4,5.15,7.4,5.15,7.4,5451.0,1343124.0,3419.0,36.0,240.0,7441.0,0.0040584486,Medium,0.003896469,0.002545558
62,2002,Illinois,5.15,7.4,5.15,7.4,5.15,7.4,42693.0,12586447.0,75759.0,961.0,25314.0,81440.0,0.0033919818,Medium,0.003896469,0.0060190936
63,2002,Indiana,5.15,7.4,5.15,7.4,5.15,7.4,20349.0,6156913.0,22001.0,362.0,6612.0,42605.0,0.0033050654,Medium,0.003896469,0.0035733816
64,2002,Iowa,5.15,7.4,5.15,7.4,5.15,7.4,8398.0,2935840.0,8388.0,44.0,1169.0,18643.0,0.00286051,Low,0.003896469,0.002857104
65,2002,Kansas,2.65,3.81,5.15,7.4,5.15,7.4,8967.0,2711769.0,10229.0,78.0,2165.0,19679.0,0.0033066976,Medium,0.003896469,0.0037720765
66,2002,Kentucky,5.15,7.4,5.15,7.4,5.15,7.4,11583.0,4089822.0,11101.0,191.0,3131.0,26891.0,0.0028321526,Low,0.003896469,0.0027142991
67,2002,Louisiana,0.0,0.0,5.15,7.4,5.15,7.4,20010.0,4476192.0,29690.0,593.0,7123.0,45350.0,0.0044703176,Medium,0.003896469,0.00663287
68,2002,Maine,5.75,8.27,5.15,7.4,5.75,8.27,1855.0,1294894.0,1396.0,14.0,270.0,6965.0,0.0014325497,Low,0.003896469,0.0010780805
69,2002,Maryland,5.15,7.4,5.15,7.4,5.15,7.4,24114.0,5450525.0,42015.0,513.0,13417.0,39765.0,0.004424161,Medium,0.003896469,0.0077084317
70,2002,Massachusetts,6.75,9.71,5.15,7.4,6.75,9.71,9879.0,6421800.0,31137.0,173.0,7169.0,33243.0,0.0015383537,Low,0.003896469,0.0048486404
71,2002,Michigan,5.15,7.4,5.15,7.4,5.15,7.4,50591.0,10043221.0,54306.0,678.0,11847.0,70970.0,0.005037328,High,0.003896469,0.0054072295
72,2002,Minnesota,4.9,7.05,5.15,7.4,5.15,7.4,6855.0,5024791.0,13428.0,112.0,3937.0,28034.0,0.0013642359,Low,0.003896469,0.00267235
73,2002,Mississippi,0.0,0.0,5.15,7.4,5.15,7.4,15355.0,2866733.0,9858.0,264.0,3356.0,29593.0,0.0053562713,High,0.003896469,0.0034387577
74,2002,Missouri,5.15,7.4,5.15,7.4,5.15,7.4,29795.0,5669544.0,30557.0,331.0,7024.0,42721.0,0.0052552726,High,0.003896469,0.005389675
75,2002,Montana,4.0,5.75,5.15,7.4,5.15,7.4,2870.0,910372.0,3197.0,16.0,283.0,3289.0,0.0031525574,Medium,0.003896469,0.0035117513
76,2002,Nebraska,5.15,7.4,5.15,7.4,5.15,7.4,4048.0,1727564.0,5428.0,48.0,1359.0,10329.0,0.0023431838,Low,0.003896469,0.0031419965
77,2002,Nevada,5.15,7.4,5.15,7.4,5.15,7.4,10101.0,2167455.0,13856.0,181.0,5118.0,18951.0,0.004660304,Medium,0.003896469,0.006392751
78,2002,New Hampshire,5.15,7.4,5.15,7.4,5.15,7.4,2475.0,1274405.0,2056.0,12.0,413.0,4838.0,0.0019420828,Low,0.003896469,0.0016133019
79,2002,New Jersey,5.15,7.4,5.15,7.4,5.15,7.4,26301.0,8575252.0,32252.0,339.0,13955.0,43899.0,0.0030670818,Medium,0.003896469,0.0037610556
80,2002,New Mexico,4.25,6.11,5.15,7.4,5.15,7.4,5991.0,1852044.0,13719.0,152.0,2206.0,19634.0,0.0032348044,Medium,0.003896469,0.0074074916
81,2002,New York,5.15,7.4,5.15,7.4,5.15,7.4,66925.0,19134292.0,95030.0,909.0,36653.0,76700.0,0.0034976471,Medium,0.003896469,0.004966476
82,2002,North Carolina,5.15,7.4,5.15,7.4,5.15,7.4,32918.0,8305820.0,39118.0,548.0,12205.0,99535.0,0.003963245,Medium,0.003896469,0.0047097094
83,2002,North Dakota,5.15,7.4,5.15,7.4,5.15,7.4,1117.0,633911.0,496.0,5.0,58.0,2243.0,0.001762077,Low,0.003896469,0.0007824442
84,2002,Ohio,2.8,4.03,5.15,7.4,5.15,7.4,45284.0,11408699.0,40128.0,526.0,17871.0,99164.0,0.003969252,Medium,0.003896469,0.003517316
85,2002,Oklahoma,2.0,2.88,5.15,7.4,5.15,7.4,21996.0,3489700.0,17587.0,163.0,2966.0,35171.0,0.0063031204,High,0.003896469,0.005039688
86,2002,Oregon,6.5,9.35,5.15,7.4,6.5,9.35,11650.0,3520355.0,10298.0,72.0,2742.0,25696.0,0.0033093253,Medium,0.003896469,0.0029252733
87,2002,Pennsylvania,5.15,7.4,5.15,7.4,5.15,7.4,39724.0,12328827.0,49578.0,624.0,17163.0,55610.0,0.0032220422,Medium,0.003896469,0.004021307
88,2002,Rhode Island,6.15,8.84,5.15,7.4,6.15,8.84,3473.0,1068326.0,3051.0,41.0,916.0,6415.0,0.0032508804,Medium,0.003896469,0.00285587
89,2002,South Carolina,0.0,0.0,5.15,7.4,5.15,7.4,22896.0,4103770.0,33761.0,298.0,5774.0,43745.0,0.00557926,High,0.003896469,0.008226826
90,2002,South Dakota,5.15,7.4,5.15,7.4,5.15,7.4,2943.0,760437.0,1350.0,11.0,117.0,3034.0,0.003870143,Medium,0.003896469,0.001775295
